Category,Tweet,Date,Location,Longitude,Latitude
PO,695657650412003328,Fri Feb 05 17:18:03 +0000 2016,"Old Saybrook Center, CT",-72.3770828,41.2966576
PO,695664790501371905,Fri Feb 05 17:46:25 +0000 2016,"College Park, GA",-84.43537131,33.64052023
PO,695723446479757312,Fri Feb 05 21:39:30 +0000 2016,Rudman Hall,-70.93548059463501,43.13564486263822
PO,695730007377907712,Fri Feb 05 22:05:34 +0000 2016,"Myrtle Beach, SC",-78.90729871,33.7075991
PO,695739600430571520,Fri Feb 05 22:43:41 +0000 2016,"Brookline, MA",-71.1336,42.3307
PO,695740265894539264,Fri Feb 05 22:46:20 +0000 2016,"Milford, MA",-71.519,42.1458
PO,695397742416261120,Fri Feb 05 00:05:16 +0000 2016,"Winchester, NV",-115.15221336,36.13188464
PO,695567216977301505,Fri Feb 05 11:18:42 +0000 2016,"Boston, MA",-71.1653215,42.29009074
PO,695657650412003328,Fri Feb 05 17:18:03 +0000 2016,"Old Saybrook Center, CT",-72.3770828,41.2966576
PO,695664790501371905,Fri Feb 05 17:46:25 +0000 2016,"College Park, GA",-84.43537131,33.64052023
PO,695723446479757312,Fri Feb 05 21:39:30 +0000 2016,Rudman Hall,-70.93548059463501,43.13564486263822
PO,695730007377907712,Fri Feb 05 22:05:34 +0000 2016,"Myrtle Beach, SC",-78.90729871,33.7075991
PO,695739600430571520,Fri Feb 05 22:43:41 +0000 2016,"Brookline, MA",-71.1336,42.3307
PO,695740265894539264,Fri Feb 05 22:46:20 +0000 2016,"Milford, MA",-71.519,42.1458
